purpose,mean_purpose_revol_util
car,41.80771084337349
credit_card,59.867909710004426
debt_consolidation,57.515299667695224
educational,38.84246987951808
home_improvement,46.75536495662014
house,40.56079825041006
major_purchase,42.21917678639908
medical,50.13093503669475
moving,51.90271356783919
other,52.05973122277701
renewable_energy,50.22775800711744
small_business,45.91676887215349
vacation,50.74025176233636
wedding,46.85868435013262
