purpose,mean_purpose_annual_inc
car,64668.40913526011
credit_card,72632.20066785514
debt_consolidation,72371.66817061542
educational,49107.13087087087
home_improvement,88694.15796308503
house,79413.18928415299
major_purchase,73813.88827485006
medical,71748.35342833876
moving,66174.44351170569
other,68145.25510619141
renewable_energy,82366.12081850534
small_business,86657.43160336796
vacation,65449.66880462079
wedding,69420.46374138845
