purpose,mean_purpose_loan_amnt
car,8042.277456647399
credit_card,14750.062514207775
debt_consolidation,15126.721734806075
educational,6322.2972972972975
home_improvement,13941.24446746398
house,15035.710382513662
major_purchase,10448.59959168049
medical,8837.079261672096
moving,7430.288461538462
other,9494.787915695828
renewable_energy,10254.893238434164
small_business,15349.489430311716
vacation,6201.59467604219
wedding,10532.73714891362
