purpose,mean_purpose_total_acc
car,21.398381502890174
credit_card,25.104030820401768
debt_consolidation,25.61093520453322
educational,17.27927927927928
home_improvement,25.722384405311235
house,23.362841530054645
major_purchase,22.10386627536047
medical,23.938653637350704
moving,21.448160535117058
other,22.349345209691958
renewable_energy,22.690391459074732
small_business,22.582766033679686
vacation,22.436966348568557
wedding,20.205617382087972
