purpose,mean_purpose_int_rate
car,12.110961849710984
credit_card,12.56718560438377
debt_consolidation,14.118243020672223
educational,12.056276276276275
home_improvement,13.57939730671438
house,15.230393442622951
major_purchase,12.834180170983794
medical,15.195244299674266
moving,16.0436872909699
other,15.652954882440163
renewable_energy,14.855978647686833
small_business,15.973310641347188
vacation,15.056142641888497
wedding,14.138547959724429
