purpose,mean_purpose_total_rev_hi_lim
car,25453.2519470405
credit_card,33314.81555339314
debt_consolidation,30063.043463250564
educational,
home_improvement,30404.761410189833
house,27977.225118483413
major_purchase,27757.929123468424
medical,25840.922557726466
moving,19863.952127659573
other,24287.121368624918
renewable_energy,25672.73125
small_business,30555.398328690808
vacation,22612.883278688525
wedding,25397.879656160458
