purpose,mean_purpose_tot_cur_bal
car,106830.12071651091
credit_card,137832.83570828722
debt_consolidation,137972.85403273476
educational,
home_improvement,193578.9981535976
house,114898.27883096367
major_purchase,123953.32686145147
medical,128069.99964476022
moving,89013.67494089835
other,115542.11964708414
renewable_energy,124601.45
small_business,141776.25626740948
vacation,100602.96065573771
wedding,99337.23209169054
