home_ownership,mean_home_ownership_annual_income_commitment_rate
ANY,3.34
MORTGAGE,5.6711137513495204
NONE,6.514864864864865
OTHER,4.677007299270073
OWN,6.098238774590779
RENT,5.722042111833412
