purpose,mean_purpose_annual_income_commitment_rate
car,3.793405780346821
credit_card,5.7667345449324605
debt_consolidation,6.120462079632088
educational,4.082282282282282
home_improvement,4.841339579998117
house,5.859836065573771
major_purchase,4.22863595763685
medical,3.7904017372421284
moving,3.4522198996655513
other,4.275700439595361
renewable_energy,4.071103202846976
small_business,5.572167681834468
vacation,2.9047513812154695
wedding,4.413518812930578
