quantiles,deciles
0.05088842287659645,0
0.19729807376861572,1
0.2649790525436401,2
0.3241979658603668,3
0.3745823085308075,4
0.4208785593509674,5
0.46683524250984193,6
0.5143019914627075,7
0.5652599215507508,8
0.6261952638626099,9
